Titolo,URL,Timestamp,User,(Testo Citato),TESTO,Costruttore,Modello,Brand,Interni,Esterni,Meccanica,Prestazioni,Consumi/Autonomia,Motore,Elettrico,Fuoristrada,Elettronica di Bordo,Manutenzione,Assistenza/Concessionari
Boxer diesel:mi sono cadute le braccia,https://forum.quattroruote.it/threads/boxer-diesel-mi-sono-cadute-le-braccia.105605/,2016-08-18 00:00:00,SUBmARine U-14,,Outback ,,,,,,,,,,,,,,
Porsche Cayenne Facelift 2014,https://www.autopareri.com/forums/topic/55836-porsche-cayenne-facelift-2014?&page=3#comments,2014-07-24 18:55:54,atomicstation2,,Che exclusivitè ! ! ,,,,,,,,,,,,,,
Mondiale F.1 - GP d'Italia 2018,https://forum.quattroruote.it/threads/mondiale-f-1-gp-ditalia-2018.118133/page-15,2018-09-02 00:00:00,pi_greco,,Lo ha appena detto Ham... si è stupito che Kimi abbia chiuso più volte Seb lui ha aspettato e ha trovato il varco... ,,,,,,,,,,,,,,
Nissan è la meno giap delle case.,https://forum.quattroruote.it/threads/nissan-%C3%A8-la-meno-giap-delle-case.110636/page-2,2017-05-26 00:00:00,NEWsuper5,"""Non farmi paragoni con i francesi perché sono cose spot come fece la Fiat con la Croma. I coreani sono i nuovi giapponesi ma molto più aggressiv sono stakanovist ci hanno raggiunti e superati. Noi italiani siamo pelandroni e i francesi fanno auto che molte volte hanno rogne a non finire. Con Citroën sono diventato mostro in 3 anni ed alla fine l'ho venduta per disperazione.""",Eh poi ero io a guardare solo le esperienze personali.... ,,,,,,,,,,,,,,
Lancia Ypsilon 2011,https://www.autopareri.com/forums/topic/41885-lancia-ypsilon-2011?&page=141#comments,2011-06-17 16:27:10,Motron,,lo sgooops del mulletto beccato tempo fà era vero allora Beh non mi importa più di tanto.. non mi sembra grave ,,,,,,,,,,,,,,
Honda Civic X-Recensioni e pareri possessori,https://forum.quattroruote.it/threads/honda-civic-x-recensioni-e-pareri-possessori.111494/page-2,2017-08-07 00:00:00,elancia75,'Ovvio che la vince Civic grazie alla mole e altezza da terra più contenute il 4wd non incide molto.',Sì io intendevo tra il 1.6 bitd e il 1.5 t su CR-V e se e quando sarà su Civic. ,,,,,,,,,,,,,,
Anabbaglianti Panda Serie 3,https://forum.quattroruote.it/threads/anabbaglianti-panda-serie-3.120102/,2019-01-03 00:00:00,NEWsuper5,"""Se non fossero i fusibili di cosa si tratterebbe quindi? E' possibile che si siano bruciate entrambe le lampadine?""",Sì è possibile. La tua auto monta lampade H4 a doppio fiamento se non ricordo male quindi potrebbero anche essersi interrotti i filamenti degli anabbaglianti in entrambe le lampade. Ma dovresti riuscire a vederli dall'esterno. Gli anabbaglianti hanno il filamento con la paratìa in metallo gli abbaglianti l'altro filamento privo di paratìe. ,,,,,,,,,,,,,,
Quotazioni usato Giulia,https://forum.quattroruote.it/threads/quotazioni-usato-giulia.111602/,2017-07-28 00:00:00,arizona77,,Leggendo meglio potrebbe essere che ha perso il 21 dal prezzo pagato pagato ovvero gia' meno il 20% dal listino Cioe' 100----80----64 ,,,,,,,,,,,,,,
Consegne Renegade,https://forum.quattroruote.it/threads/consegne-renegade.95843/,2015-05-27 00:00:00,calitea,,"Salve questa la mia storia. Sono di Messina mi piaceva tanto la Nuova Jeep Renegade ma poichè tutte le Concessionarie della mia provincia erano fallite mi sono recata a Catania alla Concessionaria X.Y. ZZZZ s.r.l. per acquistarla e qui ho scelto l'auto e ho versato ( tramite bonifico bancario ) un acconto di euro 1.000 00 a Novembre 2014 con l'assicurazione che l'auto sarebbe arrivata entro l'anno o al massimo a Gennaio 2015. Sono trascorsi mesi e mesi durante i quali chiamando al telefono la Concessionaria il nostro rivenditore o non era reperibile o era impegnato o addirittura non rispondeva affatto o se finalmente riuscivi a parlarci si teneva sul vago e ti assicurava che ti avrebbe richiamato più tardi o l'indomani per darti tutte le informazioni e le spiegazioni sul ritardo nella consegna dell'auto .... NIENTE.....allora ho pensato di contattare l'Assistenza Clienti Jeep che ha aperto una pratica a mio nome per seguire il percorso della mia auto .Vengo così a sapere che alla Concessionaria non vengono mandate le nuove auto ordinate perchè ha dei problemi con la Casa Produttrice.....Tuttavia circa due mesi fa finalmente mi contattano dall'Assistenza Clienti Jeep e mi comunicano che sono state spedite delle auto alla Concessionaria di Catania fra cui c'è anche la mia e me ne comunicano il n. di telaio . Nel contempo ci arriva anche una mail dalla Concessionaria nella quale anche loro ci comunicano che l'auto è arrivata e ci danno pure loro il n. di telaio.Sull'auto bisogna fare delle modifiche avendola comprata con la 104 ovvero montare un seggiolino per agevolare l'accesso in auto della persona disabile.A questo scopo l'auto veniamo a sapere viene mandata in un'officina specializzata per il montaggio di questo predellino. Altro tempo infinito...altre telefonate....circa quattro settimane fa finalmente ci viene comunicato che le modifiche sono state effettuate e così ci siamo recati a Catania a vedere l'auto controllando il n. del telaio. Conclusione il rivenditore ci ha detto che ora non restava altro che effettuare il collaudo l'omologazione del seggiolino per la persona disabile e subito dopo l'immatricolazione ma che prima bisognava saldare tutto altrimenti la pratica non poteva andare avanti.Io ero molto restia dopo le mille traversie... non sapevo cosa fare.... avrei voluto poter effettuare il pagamento chiavi in mano.... ma il rivenditore di contatto ci ha detto che se non si effettuava prima il saldo l'auto non sarebbe stata immatricolata... Così dopo mille dubbi anche sul modo più ""sicuro"" di pagamento ( assegno circolare o bonifico bancario ) ho saldato in contanti la cifra restante scegliendo ancora una volta il bonifico bancario. Bene sono passate quattro settimane dall'avvenuto saldo e l'auto ancora non l'ho avuta. Ancora una volta alla Concessionaria il rivenditore è irreperibile .... vago se hai la fortuna di riuscire a parlarci e ti richiamerà..... senza poi farlo.... Ho richiamato anche numerose volte l'Assistenza Clienti Jeep e anche loro dicono che mi faranno sapere e che stanno lavorando per me. Che dire...sono stata gabbata ? ? ? Ho agito imprudentemente ? ? Avrei dovuto perdere l'acconto ( 1.000 00 euro per me sono soldi ! ! ) ... e rivolgermi a un'altra Concessionaria più affidabile ? ? Ma anche il Sevizio Clienti Jeep mi dava di volta in volta rassicurazioni..... persino questa sera mi è stato ripetuto che anche se non sono stata ricontattata si stanno interessando alla mia pratica..... ? ! ? ! Cosa posso fare ? ? ? .... passare tutto nelle mani di un avvocato ? ? ? Un'esperienza terribile..... Sono una semplice impiegata non una riccona.... e per comprare l'auto nuova ho risparmiato per anni.... parafrasando un famoso film forse ! ? ... ""Non mi resta che piangere ! ! ""..... SONO DISPERATA ! ! ",,,,,,,,,,,,,,
Nuova Civic Type R,https://www.bmwpassion.com/forum/threads/nuova-civic-type-r.28743/page-2,2005-08-20 00:00:00,albycol,,--------------------------------------------------------------------------------http://video.google.com/videoplay ? docid=630946018330325908&q=ci Type-R 2007 all'Estoril. http://media.honda.co.uk/brochures/...wnload_brochure_confirm ? brochureID=civictyper e guardatevi il catalogo. presentazione in conce il 17&18 Febr x quanto riguarda il motore è sempre il k20 leggermente migliorato ,,,,,,,,,,,,,,
